;Single acting cylinder;Single acting cylinder;Pressure at Rod end;Pressure at cap end
;PIston ;PIston ;Pressure at rod end ;Pressure at Cap end
t;x;v;p;p
[s];[mm];[m/s];[bar];[bar]
7.20;116.20455;-0.00906;0.86176;0.99966
7.21;116.11397;-0.00906;0.86176;0.99966
7.22;116.02339;-0.00906;0.86176;0.99966
7.23;115.93281;-0.00906;0.86176;0.99966
7.24;115.84223;-0.00906;0.86176;0.99966
7.25;115.75165;-0.00906;0.86176;0.99966
7.26;115.66107;-0.00906;0.86176;0.99966
7.27;115.57049;-0.00906;0.86176;0.99966
7.28;115.47991;-0.00906;0.86176;0.99966
7.29;115.38933;-0.00906;0.86176;0.99966
7.30;115.29875;-0.00906;0.86176;0.99966
7.31;115.20817;-0.00906;0.86176;0.99966
7.32;115.11758;-0.00906;0.86176;0.99966
7.33;115.02700;-0.00906;0.86176;0.99966
7.34;114.93642;-0.00906;0.86176;0.99966
7.35;114.84584;-0.00906;0.86176;0.99966
7.36;114.75526;-0.00906;0.86176;0.99966
7.37;114.66468;-0.00906;0.86176;0.99966
7.38;114.57410;-0.00906;0.86176;0.99966
7.39;114.48352;-0.00906;0.86176;0.99966
7.40;114.39294;-0.00906;0.86176;0.99966
7.41;114.30236;-0.00906;0.86176;0.99966
